sigtime,inti,type,signals
2024-04-10 16:40:00,0,signals,30
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,0,signals,30
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,0,signals,30
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,0,signals,30
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,0,signals,30
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,0,signals,30
2024-04-10 16:40:00,0,signals,30
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,29,signals,34
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,0,signals,30
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,0,signals,30
2024-04-10 16:40:00,29,signals,34
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,0,signals,30
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,0,signals,30
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,0,signals,30
2024-04-10 16:40:00,0,signals,30
2024-04-10 16:40:00,0,signals,30
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,1,signals,0
2024-04-10 16:40:00,0,signals,30
2024-04-10 16:40:00,0,signals,30
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
